time/time_elapsed,custom/stage,time/fps,time/total_timesteps,time/iterations,custom/intervention_type,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_fraction,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/std,train/n_updates,train/value_loss
9,1,453,5050368,1,"position",267.86,2.0396163,,,,,,,,,,,
29,1,277,5054464,2,"position",287.86,1.9497699,0.044647623,-21.595002182324727,0.00025,0.4925333658854167,0.4790598154067993,0.2,-0.10763086483469426,-0.5533646941184998,2.6667816638946533,1170,0.025236133458383846
49,1,246,5058560,3,"position",307.98,1.6769154,0.037631687,-21.685459301869074,0.00025,0.42690836588541664,0.6277674734592438,0.2,-0.09016503360132143,-0.5340584516525269,2.699273109436035,1185,0.020842479182465467
70,1,233,5062656,4,"position",327.62,1.5872107,0.065796316,-21.745574631293614,0.00025,0.564544677734375,0.7365400791168213,0.2,-0.10457631988077386,-0.5527094006538391,2.7099831104278564,1200,0.029943947194260544
90,1,226,5066752,5,"position",339.43,1.3940446,0.043427818,-21.784887338678043,0.00025,0.4342987060546875,0.7808329463005066,0.2,-0.09174754511999102,-0.5465523600578308,2.7331104278564453,1215,0.03139417968292643
110,1,221,5070848,6,"position",359.43,1.2106693,0.046077747,-21.872600881258645,0.00025,0.4703908284505208,0.781993180513382,0.2,-0.09746142401709221,-0.5412554144859314,2.749619483947754,1230,0.0461674411810236
131,1,218,5074944,7,"position",378.56,1.0472485,0.052667886,-21.93879169722398,0.00025,0.5235646565755209,0.8077969998121262,0.2,-0.1024329974510086,-0.5463274121284485,2.775161027908325,1245,0.031505165525110596
151,1,216,5079040,8,"position",394.07,0.85194606,0.061902195,-22.040609213709832,0.00025,0.5485677083333333,0.7256054580211639,0.2,-0.10632179898166214,-0.5604968667030334,2.807920217514038,1260,0.019850557642348575
172,1,214,5083136,9,"position",411.81,0.7065226,0.3833355,-22.12506211102009,0.00025,0.6064229329427083,0.8259567320346832,0.2,-0.11040746372285261,-0.5580123066902161,2.834153652191162,1275,0.01883518221778407
192,1,212,5087232,10,"position",427.81,0.3684297,0.04994037,-22.191797711451848,0.00025,0.5262003580729167,0.6995059251785278,0.2,-0.10957348724235393,-0.5647818446159363,2.8527684211730957,1290,0.0198782485507157
212,1,211,5091328,11,"position",447.81,0.24491644,0.06606398,-22.29475153783957,0.00025,0.5797068277994791,0.6103674173355103,0.2,-0.104145809164523,-0.557295024394989,2.895296335220337,1305,0.027958210191961066
233,1,210,5095424,12,"position",441.65,0.30077672,0.06117303,-22.42890647451083,0.00025,0.5846832275390625,0.8220976442098618,0.2,-0.1146075749755255,-0.5776724815368652,2.939293622970581,1320,0.018452296256873522
253,1,209,5099520,13,"position",436.35,0.3670481,0.078939214,-22.590564468502997,0.00025,0.6239329020182292,0.7339304983615875,0.2,-0.11474302245624131,-0.5827118754386902,2.991710662841797,1335,0.014635524509503738
