#{"t_start": 1753118391.4731443, "env_id": null}
r,l,t
-0.43123335,501,1.112449
0.9033662,501,2.229863
3.2028873,501,3.331464
-0.59677976,501,4.441201
1.1248585,501,5.570922
1.8911455,501,6.666426
-1.7608377,501,7.775047
-1.5557821,501,8.860182
-1.1435968,501,21.299929
1.1617639,501,22.401753
1.6902661,501,23.500714
2.2535324,501,24.607625
-0.45922792,501,25.712967
1.2704456,501,26.815484
2.982776,501,27.920754
-2.451296,501,29.029797
1.6895632,501,41.96232
-0.13863578,501,43.145857
-2.6215878,501,44.362604
4.42811,501,45.545026
3.6475542,501,46.76019
-2.365515,501,47.965016
3.6354206,501,49.175882
-0.3833592,501,50.401323
0.30691957,98,50.700146
-1.5038955,501,66.489115
2.2885551,246,67.266072
-2.7440662,501,68.754557
1.4959198,501,70.244701
-0.50106585,501,71.599784
2.104735,209,72.132064
-1.6994014,501,73.313881
-1.2675476,501,74.543545
2.2589698,501,75.785736
-0.30805343,501,91.505994
-1.4865302,501,92.989067
4.44292,501,94.488632
0.14544454,34,94.639402
3.1220896,501,96.141372
2.7356622,501,97.464102
-0.51123583,501,98.7078
0.8343526,99,99.000784
2.4049451,204,99.536098
1.8290383,337,100.376271
5.4227033,501,101.632718
0.11304307,501,117.394556
1.3203113,131,117.826717
-0.1389071,501,119.333818
-0.0045166807,501,120.849455
-3.0370414,501,122.271509
-3.1225772,501,123.491409
-1.2000663,35,123.62548
1.4612615,501,124.839787
3.096302,501,126.068552
0.116807796,501,127.294049
3.3439229,501,143.127975
-1.8980364,501,144.635579
1.8570997,501,146.13565
-0.4496643,501,147.5736
-4.0189743,501,148.791506
0.52676743,39,148.930515
-1.9596488,501,150.179234
-1.8688413,501,151.3551
-0.4311101,73,151.560214
0.4338754,501,152.772703
3.00888,501,168.706614
-1.5881654,34,168.856603
1.2046412,501,170.366326
-1.6493369,501,171.876446
-1.5184135,501,173.255449
-0.14901793,251,173.902584
3.0651085,501,175.100672
-0.17204565,501,176.281526
-0.17944893,38,176.424481
-4.4957347,501,177.638306
-4.5721755,501,193.600149
0.21158867,501,195.097649
2.3048394,501,196.582718
1.7368435,501,198.067533
1.0123408,231,198.652909
5.081194,501,199.847731
2.8106418,501,201.072196
-1.926247,501,202.395622
0.6887615,35,202.527546
0.27173215,501,203.744881
-1.968485,501,219.828538
2.4797206,501,221.3268
3.936877,501,222.831459
-0.0823661,501,224.138575
0.3485142,42,224.285881
-3.0047553,501,225.512047
-0.68362856,501,226.771871
4.4299574,501,227.988935
-0.31411415,501,229.272611
-2.1479855,501,245.365167
-1.4450697,501,246.873927
2.9253697,501,248.371217
-0.25040495,501,249.590151
3.0224698,501,250.798174
2.63873,501,252.040313
2.3788607,501,253.264637
3.8300345,501,254.46983
-4.7793717,501,270.568239
-0.8705011,501,272.092898
-2.3349183,501,273.620692
2.511151,501,274.889459
0.4086223,501,276.115203
0.5863108,34,276.252196
-0.63673425,41,276.396165
-2.3878572,501,277.619102
-2.0542219,501,278.835507
-1.8906277,36,278.971632
2.1909978,501,280.21305
-0.86971146,501,295.754515
4.0985856,501,297.260647
-0.65126765,501,298.762262
-0.42384064,501,300.085795
-3.834157,501,301.364999
2.641311,501,302.585501
0.87050897,235,303.198311
1.374041,501,304.413136
-1.9010072,501,305.661855
