rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,custom/intervention_type,custom/stage,train/value_loss,train/clip_fraction,train/std,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/loss,train/n_updates,train/approx_kl
271.0,5050368,450,9,1,2.0878954,"position",1,,,,,,,,,,,
291.0,5054464,278,29,2,1.9734801,"position",1,0.039370404359457704,0.46999715169270834,2.6663029193878174,-0.10402635012457419,0.2906455397605896,0.2,-21.5947795043389,0.00025,-0.541191041469574,1170,0.0401469
309.47,5058560,240,51,3,1.8371407,"position",1,0.020137588702588496,0.41009928385416666,2.6797757148742676,-0.09118379039136926,0.692165344953537,0.2,-21.63715334633986,0.00025,-0.5402143001556396,1185,0.034930468
326.5,5062656,214,76,4,1.6279645,"position",1,0.032430396833418244,0.48507792154947915,2.6890370845794678,-0.09740615816602562,0.7205636203289032,0.2,-21.680301705996197,0.00025,-0.5391430258750916,1200,0.049144126
340.7,5066752,200,102,5,1.571489,"position",1,0.0230221175996121,0.5325836181640625,2.7161481380462646,-0.10431143505484215,0.7565003335475922,0.2,-21.755160585045815,0.00025,-0.5422031879425049,1215,0.050444067
357.34,5070848,192,127,6,1.3283279,"position",1,0.02730117874889402,0.549090576171875,2.7480103969573975,-0.10637007780484661,0.7664617151021957,0.2,-21.847069703539212,0.00025,-0.5522448420524597,1230,0.04885757
373.44,5074944,187,153,7,1.0800767,"position",1,0.02865220228607844,0.5441782633463542,2.787325620651245,-0.09824381636329539,0.68019238114357,0.2,-21.984866500894228,0.00025,-0.5426696538925171,1245,0.057574432
386.64,5079040,183,178,8,0.8310188,"position",1,0.022064391264575534,0.5227671305338542,2.8061892986297607,-0.10783429309764567,0.7078715860843658,0.2,-22.041278542081514,0.00025,-0.5642811059951782,1260,0.053584762
404.28,5083136,180,204,9,0.68691653,"position",1,0.03129343211961289,0.5750508626302083,2.8439478874206543,-0.10140643727985056,0.768910601735115,0.2,-22.163527596990267,0.00025,-0.5563766360282898,1275,0.062339216
422.19,5087232,178,229,10,0.522346,"position",1,0.022096820602988978,0.47508443196614586,2.8866474628448486,-0.08481212060602654,0.7120194137096405,0.2,-22.287300912539163,0.00025,-0.537899911403656,1290,0.043243915
437.19,5091328,176,255,11,0.5025188,"position",1,0.026297337898480086,0.5661966959635417,2.915947437286377,-0.10020683238835773,0.7501057684421539,0.2,-22.391679269075393,0.00025,-0.5635698437690735,1305,0.1379883
423.27,5095424,174,280,12,0.35186508,"position",1,0.025314327630621847,0.509375,2.9513111114501953,-0.09475674433245634,0.7914723008871078,0.2,-22.48201158642769,0.00025,-0.5509722828865051,1320,0.04943686
420.61,5099520,173,306,13,0.3004955,"position",1,0.02757150800850165,0.5480092366536459,2.981203317642212,-0.0980928610675619,0.7214273512363434,0.2,-22.586392763257027,0.00025,-0.556753396987915,1335,0.05969446
