#{"t_start": 1753118755.3071434, "env_id": null}
r,l,t
-0.09536924,501,1.544531
-1.416813,501,3.052703
7.2253666,501,4.576215
-1.8485427,38,4.749016
2.7317078,501,6.117089
0.69928813,20,6.217751
5.3661284,501,7.455818
0.06304867,22,7.561467
-1.5040472,501,8.822961
-1.9945986,501,10.071291
2.1499522,501,11.299844
3.2005472,501,27.347746
-3.616017,501,28.864912
-5.339516,501,30.389003
1.653529,501,31.844928
1.2244128,21,31.94818
-0.23773474,501,33.181298
4.2833977,501,34.425824
2.897563,26,34.544117
-2.131558,501,35.760971
0.92808455,501,37.029435
-1.1040921,501,52.910295
2.5118465,24,53.032966
-0.1919185,501,54.558849
1.5687221,21,54.672499
2.507031,501,56.186823
3.7989976,501,57.692889
-2.9662917,501,58.96268
-0.9661003,501,60.178629
0.9156902,501,61.399201
-1.2508391,501,62.643215
2.997179,17,62.737727
2.5345068,24,62.845658
-1.0245097,501,78.852494
1.8117988,501,80.384401
-0.6685446,501,81.882745
-4.1136417,501,83.39603
5.350904,501,84.6286
-1.710725,501,85.887254
-1.6436054,501,87.121673
1.471484,501,88.342731
1.4921112,501,104.165259
1.2982785,17,104.267714
1.7019587,501,105.763004
-0.9267287,501,107.282298
-2.0174325,501,108.805664
1.6489143,501,110.114478
-0.9672227,501,111.432167
-0.6423534,501,112.68248
-0.060122777,501,113.92026
1.3528368,501,129.798188
5.2318993,501,131.328585
-3.249474,501,132.869374
2.002097,501,134.389135
2.620348,501,135.780884
1.1089383,501,137.009001
1.859166,501,138.25937
4.1965885,501,139.546729
1.0628841,501,155.123495
0.6117663,501,156.643397
2.0768416,21,156.757448
0.53400415,501,158.264176
3.489927,501,159.757923
0.63373864,501,161.268041
-0.73468643,501,162.516513
-3.864666,501,163.747977
2.2165654,24,163.85942
4.196919,501,165.082109
0.82988316,501,180.672666
-2.153013,501,182.183316
0.41478482,501,183.680763
1.4887158,501,185.218306
1.7297994,501,186.710005
0.076840386,501,187.990957
-0.87497216,501,189.310024
-2.9396527,501,190.562842
6.132123,501,206.167451
-2.38098,501,207.740176
2.4092972,501,209.244257
-4.2540913,501,210.82146
4.2578173,501,212.342952
0.08129193,501,213.688466
-0.15389346,501,214.930965
-2.2249994,501,216.23809
4.1528053,501,217.497191
2.108858,22,231.771873
-1.875334,501,233.315715
0.8936104,501,234.814276
-3.4552944,501,236.3452
-3.3116422,501,237.919502
1.3786743,501,239.263954
-1.6567342,501,240.599184
-0.11048485,501,241.798664
-3.4790993,501,243.082839
-0.88824594,501,258.435774
1.8419366,501,259.922066
-0.79547495,501,261.453158
1.210739,501,262.941732
-1.6141938,501,264.412748
2.802971,501,265.619981
0.23391145,24,265.728181
-1.7044611,501,266.961565
0.20378298,501,268.215122
-3.3583207,501,283.808441
-3.82474,501,285.339395
-1.8209261,501,286.848958
-1.5450404,501,288.323824
3.0945415,501,289.846559
3.167517,501,291.103494
3.2004168,501,292.321794
1.8482047,501,293.577172
2.849719,501,309.078694
-1.5872465,501,310.589406
-2.161861,501,312.089664
2.278929,501,313.603751
2.1483,501,315.103473
-0.5992953,501,316.451512
-3.4952667,501,317.73121
1.6431704,103,318.035996
-1.7385669,501,319.228955
