#{"t_start": 1753119141.3795414, "env_id": null}
r,l,t
0.94032747,51,0.189573
-2.569871,501,1.43353
4.6207085,501,2.629698
4.1843333,501,3.841638
-0.8127347,501,5.075664
3.514549,501,6.288345
0.0806257,37,6.429508
-2.86048,501,7.73177
3.7919877,501,8.957046
-1.1139294,46,9.116273
-1.6663616,501,26.255611
-2.5792594,501,27.481029
4.1917715,501,28.70302
-3.3256798,501,29.977916
1.9589511,501,31.175064
0.36650318,501,32.430891
1.4749964,256,33.083366
2.8665445,501,34.286678
-3.2429936,501,35.509946
1.7909311,501,52.593438
3.7558906,501,53.840747
0.61125994,501,55.058329
2.537078,501,56.296835
-4.255038,501,57.574111
-3.8277302,501,58.82008
-1.4076623,501,60.019166
-3.595215,501,61.304766
-2.0666878,501,78.441204
1.7120409,150,78.848395
1.168535,501,80.119925
-1.8687685,501,81.341538
-3.334568,501,82.548166
4.185984,501,83.772947
0.3538497,501,84.97455
-4.86032,501,86.203471
-5.3770185,501,87.450271
-1.862587,501,104.586088
0.56644326,39,104.732258
3.0069866,501,105.933163
2.0020041,501,107.165972
2.350841,274,107.855868
1.9234153,501,109.05794
0.06382201,501,110.251939
0.038340457,501,111.516336
-3.7997367,501,112.735844
-2.3794942,501,113.984719
-0.8076559,501,131.184252
2.0482047,501,132.402763
-0.352216,501,133.631472
-3.467766,501,134.882927
3.220094,501,136.109815
0.6039088,501,137.370475
-1.9943894,501,138.603869
0.34005734,76,138.836459
2.8943148,501,140.041848
3.8986735,501,157.143387
-0.6156095,501,158.337847
-2.552105,501,159.552434
2.1234,501,160.747124
2.552675,209,161.295686
5.150104,501,162.518858
3.696362,501,163.752319
0.0811838,501,164.98943
1.3567991,501,182.137681
0.7285467,501,183.399158
0.17311563,501,184.62424
1.3245412,121,184.951609
0.12797941,501,186.144311
-0.53679514,501,187.360693
-0.32326582,145,187.764194
3.5737505,501,188.959267
-0.047281347,34,189.089947
0.48846474,501,190.353402
-4.2112527,501,191.57414
3.8041878,501,208.453232
-1.7898543,501,209.661708
3.4337897,501,210.833819
2.0793297,501,212.037489
-3.022701,501,213.255677
0.7706433,501,214.434052
0.8746862,501,215.686105
4.7032866,501,216.875466
1.4216145,501,233.886373
1.3003514,71,234.142816
-0.17738807,501,235.341154
0.97939306,501,236.544871
0.55128175,501,237.788097
3.0897942,501,238.987798
3.1772342,501,240.199229
3.8246522,501,241.396044
-0.32114536,41,241.53666
3.431198,501,242.774975
4.886047,501,259.921963
2.180549,501,261.139704
1.7235776,501,262.359229
-1.2908092,501,263.582257
4.9659147,501,264.795685
-1.2605817,39,264.942895
3.6794562,501,266.141834
3.2528358,501,267.384865
-0.20531833,37,267.526322
-1.0240134,501,268.756494
0.17281954,52,268.934054
0.3535097,56,269.11527
5.4284697,501,286.247134
1.5530375,501,287.465222
4.0560174,501,288.692517
1.5766273,501,289.897525
4.420395,501,291.087899
-0.05979408,34,291.21529
1.8535135,438,292.277051
2.7914171,501,293.480529
4.1144056,501,294.694645
-3.815547,501,311.812842
-0.4231257,501,313.11429
0.46200877,42,313.264786
-0.17390218,60,313.455582
0.052390084,501,314.668297
4.1191645,501,315.912672
3.9438531,501,317.120095
3.0910723,501,318.359388
-1.159567,501,319.583091
0.7965711,501,320.82553
