#{"t_start": 1753119893.6354697, "env_id": null}
r,l,t
2.042926,175,0.495403
4.102229,501,1.694076
2.5259871,501,2.961586
-3.1235147,501,4.27186
0.91847396,501,5.507731
0.68329376,501,6.767531
-2.6608918,501,8.295285
-0.08770457,37,8.45325
4.347157,501,9.957345
-0.19026724,47,10.145902
0.034837767,62,10.378669
1.6620982,501,27.245939
-0.019679815,320,28.055249
1.3566363,277,28.730144
3.35331,501,29.951105
1.9039288,501,31.193268
-0.002524361,501,32.502585
-0.2864619,49,32.678711
0.0710898,94,32.980226
0.4767521,501,34.494146
0.39226955,106,34.850156
1.6534696,501,36.324948
2.2236772,501,37.833574
2.3586516,501,53.991084
3.4882205,501,55.24196
-0.31374297,501,56.468714
2.9712286,501,57.663883
3.9087408,501,58.87408
2.1684263,501,60.29472
3.0575912,501,61.782514
3.0098011,501,63.280375
2.17159,501,79.925096
1.8012712,501,81.144987
0.01104314,501,82.347823
1.4525253,501,83.620149
3.4514852,501,84.798955
1.6399134,501,86.303532
1.9089526,501,87.840146
-2.5208292,501,89.422347
2.4573264,501,106.014852
-0.14837295,501,107.265886
0.7685019,501,108.46942
3.088709,501,109.672076
-3.292576,501,110.984262
-2.8756611,501,112.513098
1.0876374,129,112.934747
-2.8590646,501,114.450478
3.835032,501,115.956733
5.0291214,501,132.587761
0.21520942,501,133.857889
-4.0620456,501,135.154607
3.089656,501,136.383626
0.5938171,77,136.611908
-0.9262278,501,138.040537
-0.5616171,36,138.198815
2.7609777,501,139.712167
1.9340329,501,141.206956
-0.083543,44,141.386098
3.9197116,493,142.880719
1.6805074,79,143.158527
2.571187,501,159.455935
-0.3547173,501,160.771269
0.5134226,501,162.001883
2.3779378,501,163.25152
3.8078291,501,164.641962
4.338635,501,166.137824
3.0844333,501,167.642219
0.42855883,64,167.877813
-1.3368976,501,169.463398
2.5481625,501,185.465986
-1.370453,501,186.777528
1.8151426,96,187.045828
-1.6480566,501,188.326955
1.7052313,132,188.700716
4.981449,422,189.767743
1.9187154,501,191.252526
0.8522782,147,191.736667
0.12076144,50,191.931964
1.8225594,501,193.451783
1.0452012,501,194.953333
0.85331297,501,211.400991
-3.1062698,501,212.713775
-5.0336595,501,213.89374
2.2677772,501,215.128636
-4.1442227,501,216.468476
1.0195426,501,217.962651
4.163639,501,219.441984
0.34094167,501,220.953586
-0.041811675,501,237.569183
2.582091,501,238.803079
3.7418225,337,239.627479
0.6683199,501,240.846968
0.62637913,501,242.077932
1.2236483,501,243.50837
3.6940036,501,245.01756
-1.3849977,501,246.552131
-4.877244,501,248.14563
2.404145,501,264.532092
-1.0453364,501,265.786482
1.3646493,501,267.009047
-1.9177456,130,267.364866
0.41429135,79,267.609345
2.8858776,501,268.831887
-1.6753281,501,270.330312
3.0094151,501,271.83044
0.6252405,501,273.355509
3.13477,501,290.07038
3.343774,501,291.302055
2.513898,501,292.516508
1.7051606,501,293.748846
2.7823167,501,294.949337
3.7396097,501,296.31007
1.9079126,501,297.796414
-1.410921,501,299.328167
1.1908016,453,300.684604
5.094299,501,317.172638
2.418766,501,318.402648
0.19479768,501,319.62187
2.204333,501,320.834727
-0.60862726,501,322.057924
2.5148468,501,323.50877
1.9100735,501,325.043749
2.1359274,501,326.550239
