#{"t_start": 1753120439.6353, "env_id": null}
r,l,t
-2.0574253,501,1.507931
-2.5372188,501,3.125954
1.3274558,143,3.582711
3.4658382,501,4.837721
2.2418258,501,6.08044
-1.6959283,501,7.284647
0.11679117,34,7.417932
-0.6811012,501,8.629178
1.7182908,82,8.878185
0.5611412,501,10.118162
1.5474324,501,27.56412
1.1886969,61,27.79103
4.3792534,501,29.296932
0.8646308,58,29.516078
1.8073279,501,30.807488
-0.09713841,501,32.027035
-1.286336,501,33.277953
3.155077,501,34.515273
0.6231857,58,34.700683
0.32267004,501,35.942058
0.9243945,501,37.149589
0.3267172,501,54.50256
1.4898361,111,54.873833
-0.7546841,501,56.379982
-0.28137448,501,57.638891
3.7887015,501,58.866503
-2.2085888,501,60.081611
3.9056158,501,61.340311
3.8490362,497,62.549269
0.68288076,46,62.708165
0.511159,97,62.992421
1.0377672,501,64.243059
1.7115079,501,81.716477
-1.5969285,501,83.214639
4.9399257,501,84.466059
2.4796379,501,85.72652
-0.005964309,60,85.921417
-1.4351505,501,87.144916
1.2426171,501,88.374141
-0.69982904,55,88.554206
1.9582696,218,89.115034
0.30939668,59,89.306191
1.5187811,501,90.506689
1.0653776,57,90.695951
-2.2121508,501,108.135892
0.91093284,501,109.634263
1.3695662,501,110.904934
3.341438,501,112.171761
2.8160076,501,113.398468
1.1449322,501,114.634438
-0.3910521,53,114.809793
2.8186157,141,115.196335
0.4102297,67,115.401936
2.4474099,501,116.635524
0.46364963,501,117.853077
0.15961625,501,135.599468
3.2054007,501,137.164232
0.019361245,43,137.32154
1.3891807,501,138.663447
-1.6079202,109,138.983608
-0.13717684,501,140.288535
4.107497,393,141.31057
2.1746423,501,142.64274
4.0101185,501,143.989783
2.103003,501,145.32701
-1.0672549,45,145.489572
-3.1356666,501,163.249972
-0.35248685,501,164.68088
1.267312,501,165.875245
1.1243848,501,167.078045
4.767197,501,168.293818
1.9682635,501,169.505513
-1.736655,34,169.635014
3.6126003,501,170.842082
1.607527,501,172.049125
0.8456226,44,172.201123
0.7260206,51,172.369138
-0.3796252,501,187.258199
0.91848534,501,188.747
2.1306188,501,190.286709
-0.60230243,80,190.577889
-0.02295116,39,190.740459
0.022068918,44,190.922357
-3.203129,501,192.44314
-1.6350931,104,192.798262
0.09556096,501,194.323937
-2.1360831,501,195.843703
1.1382705,81,196.1314
0.73768806,80,196.415436
2.0406148,501,197.933921
-2.0299022,501,213.67513
-0.6797458,36,213.806376
1.6763413,501,215.279527
-0.7835139,126,215.691899
-0.21839961,37,215.848625
1.411441,501,217.352421
4.1447353,501,218.861211
2.635767,501,220.349305
4.019111,501,221.84895
3.7187705,241,222.59829
-0.392106,66,222.83751
1.6477364,110,223.210247
-2.2301655,501,224.74057
0.112786315,501,240.326943
0.64674896,501,241.713166
1.8962063,501,243.231531
2.4344473,501,244.739652
1.9473786,501,246.219004
-1.6772572,501,247.718478
3.395259,233,248.443435
0.5864285,34,248.593258
0.8806368,501,250.095589
3.321974,501,265.774051
-0.291178,501,267.004806
2.3612823,501,268.34196
2.6051414,218,269.020149
0.382883,74,269.283672
4.96251,501,270.769548
3.003076,251,271.54774
-1.164303,501,273.023496
-1.280016,501,274.528221
3.051588,501,276.016427
0.9393449,501,277.513227
2.6665483,185,292.562168
1.8448955,137,292.930107
-0.51587236,124,293.279194
2.0911279,265,293.946758
0.3570274,501,295.35314
-3.0550494,501,296.90937
-0.7518752,61,297.135266
-0.8002636,40,297.299786
1.4085872,112,297.6754
-0.24522212,501,299.186049
0.71437246,37,299.344728
2.5516262,501,300.845057
1.7813286,501,302.353388
2.7011569,360,303.448876
0.12389387,39,303.613911
0.098342076,42,303.787264
4.2189975,347,319.231771
2.168564,501,320.468261
-0.34490776,501,321.821892
-2.142095,501,323.330987
2.1882503,194,323.938692
4.600198,501,325.437768
5.2768354,501,326.933037
2.5114996,501,328.452145
0.92484605,113,328.824455
1.2311313,501,330.328966
