#{"t_start": 1753118760.8214595, "env_id": null}
r,l,t
3.6345296,501,1.276789
1.2879772,501,2.528248
2.9053483,501,3.818135
2.8773513,501,5.057313
0.6604636,35,5.188109
4.091843,501,6.520843
3.0830793,424,7.793266
-0.062619925,27,7.92667
-0.2912923,59,8.151777
-0.9770792,501,9.643821
1.4528804,72,9.904437
0.39728022,51,10.107005
-0.23925363,33,10.254544
3.9516757,501,26.296053
3.7503352,501,27.530527
0.18542568,31,27.654282
2.1784608,501,28.906
0.19682634,129,29.248427
-1.6919191,501,30.468746
-0.00863684,501,31.699571
0.98103136,63,31.931194
1.5367663,37,32.090589
0.23829271,168,32.620729
-2.632246,501,34.161322
1.2028576,29,34.29806
-0.01515685,27,34.429591
2.6416242,501,35.944404
-0.86931366,28,36.077966
0.40345234,34,36.229604
1.3314886,185,36.805662
1.521357,35,36.95848
-0.21352178,163,37.488738
0.41460675,34,37.638637
3.4544706,501,53.340367
0.9998594,32,53.466482
1.5197757,50,53.633915
0.5646819,50,53.805876
2.486436,173,54.26079
-1.9263757,501,55.462738
0.8255437,34,55.595737
3.483745,501,56.843093
3.5039496,501,58.211556
-0.59614253,30,58.351002
-1.8681109,501,59.866937
3.254696,459,61.25808
0.52608377,457,62.629867
-3.6427314,501,78.375275
-1.5831959,501,79.594204
2.7447302,501,80.860713
3.193557,501,82.086796
1.3363787,33,82.22069
0.56757015,247,82.860976
0.8590871,73,83.085348
0.5646923,36,83.224957
3.1798227,501,84.733916
0.36638865,501,86.250894
1.661689,133,86.68941
3.4357622,501,88.203388
1.0483546,78,88.478924
-1.364271,501,104.241871
2.239117,501,105.494273
2.2686157,205,106.016655
3.5945776,501,107.260584
-6.5481343,501,108.533806
3.1516006,501,109.967926
0.123868056,26,110.095796
2.751018,501,111.628203
4.0742416,394,112.832523
3.359386,415,114.094835
0.90349543,78,114.370008
0.43251243,501,130.187259
1.0201716,32,130.309937
2.1324558,129,130.663922
4.1694083,501,131.891683
0.9458452,184,132.395004
0.45354137,130,132.756421
1.1239022,108,133.064942
4.8453956,501,134.32559
1.402561,160,134.761442
0.0071384814,81,135.042086
0.19866022,501,136.525921
-2.958222,501,138.007852
1.6786538,144,138.476034
0.26499468,62,138.709461
2.8120544,273,139.55272
1.2237948,101,139.898985
4.435669,501,155.767394
2.7554605,501,156.997919
2.1271205,501,158.225104
0.71554166,205,158.73931
-0.90285814,501,159.962369
3.5309508,501,161.363035
-2.7469678,501,162.895005
0.63796395,33,163.040733
0.13594115,221,163.761486
1.106003,36,163.916569
5.0261416,501,165.436947
4.4530888,501,166.945283
0.6934012,160,181.781833
1.3341937,147,182.173766
-0.70218325,501,183.432712
-0.31932685,501,184.683702
1.5798836,501,185.935228
3.4558892,501,187.414533
-0.6917685,501,188.898148
0.5697713,501,190.404225
3.7769637,416,191.690861
3.128968,305,192.626448
-0.98442435,501,208.21262
1.9706842,126,208.556584
-0.70113164,44,208.717514
0.66474926,313,209.505224
0.19183016,31,209.632683
-0.02464696,501,210.853604
1.5763466,501,212.105781
2.3605838,461,213.500488
-2.6050327,501,215.006907
-0.048380207,153,215.499477
0.3402007,501,217.005
1.2270402,34,217.156189
3.7879055,501,218.670011
-3.1871052,501,234.16388
2.051141,501,235.396946
3.07558,501,236.639676
1.1114712,501,237.869693
1.69904,200,238.498914
3.5540025,501,240.038363
0.44552264,501,241.551418
-0.6474373,501,243.04245
0.6180975,32,243.188186
-1.3146622,501,258.839641
3.2982907,449,259.913054
-1.3847725,501,261.123331
0.8065959,63,261.33192
-1.1983229,42,261.481066
-3.2992077,40,261.627763
2.0728862,501,262.895267
2.340663,501,264.346461
0.9359786,35,264.500287
0.17781891,87,264.803686
0.66420037,81,265.089971
1.9667271,145,265.558809
-3.7006183,501,267.060704
0.65549356,501,268.561509
1.35158,501,270.075797
-4.7266135,501,285.58983
2.1156871,169,286.020658
0.68406403,501,287.263084
1.2228138,225,287.869905
3.6766467,501,289.17064
-2.161279,501,290.6801
0.2834988,36,290.835661
3.4177399,459,292.201011
-0.50961554,33,292.349674
1.546096,501,293.866286
-0.26002395,501,295.369982
3.5840752,275,310.341417
-0.28736416,501,311.593266
2.6530993,354,312.495526
-0.027314711,501,313.713609
3.454759,501,315.087886
-0.493527,29,315.224118
4.081433,501,316.744877
1.4725759,501,318.261517
0.53093755,57,318.47719
-1.3553642,501,319.992156
2.6736662,501,321.497233
